"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-04-07,"BC",1124,52127,4.39,29.3
2020-04-07,"Fraser",398,17898,6.09,34
2020-04-07,"Interior",165,7237,2.12,23.2
2020-04-07,"Northern",19,1913,2.01,46.2
2020-04-07,"Unknown",3,519,0,31
2020-04-07,"Vancouver Coastal",332,17518,5.73,27
2020-04-07,"Vancouver Island",207,7042,1.2,27.4
2020-04-08,"BC",1203,53330,4.5,30.3
2020-04-08,"Fraser",462,18360,6.37,30
2020-04-08,"Interior",186,7423,1.89,27
2020-04-08,"Northern",58,1971,2.26,86.5
2020-04-08,"Unknown",35,554,0,79
2020-04-08,"Vancouver Coastal",274,17792,5.76,19
2020-04-08,"Vancouver Island",188,7230,1.29,24.3
2020-04-09,"BC",1190,54520,4.26,28
2020-04-09,"Fraser",426,18786,6.33,29.3
2020-04-09,"Interior",169,7592,2.15,22.2
2020-04-09,"Northern",58,2029,1.99,77.7
2020-04-09,"Unknown",18,572,0,81.7
2020-04-09,"Vancouver Coastal",332,18124,5.12,19.6
2020-04-09,"Vancouver Island",187,7417,1,24.6
2020-04-10,"BC",1540,56060,4.31,27.7
2020-04-10,"Fraser",619,19405,6.73,29.6
2020-04-10,"Interior",190,7782,2.02,22.8
2020-04-10,"Northern",85,2114,2.07,61.3
2020-04-10,"Unknown",19,591,0,72.7
2020-04-10,"Vancouver Coastal",417,18541,4.87,18.1
2020-04-10,"Vancouver Island",210,7627,0.7,27.9
2020-04-11,"BC",980,57040,4.45,26
2020-04-11,"Fraser",402,19807,7.09,26.9
2020-04-11,"Interior",121,7903,2.37,20.1
2020-04-11,"Northern",48,2162,2.13,52.4
2020-04-11,"Unknown",4,595,0,49
2020-04-11,"Vancouver Coastal",219,18760,4.74,20
2020-04-11,"Vancouver Island",186,7813,0.78,27.6
2020-04-12,"BC",826,57866,4.44,25.1
2020-04-12,"Fraser",282,20089,6.88,30.2
2020-04-12,"Interior",135,8038,2.31,21.7
2020-04-12,"Northern",6,2168,2.15,34.9
2020-04-12,"Unknown",7,602,0,55
2020-04-12,"Vancouver Coastal",252,19012,4.37,18.2
2020-04-12,"Vancouver Island",144,7957,1.03,28.7
2020-04-13,"BC",821,58687,4.54,29.6
2020-04-13,"Fraser",293,20382,6.66,27.4
2020-04-13,"Interior",90,8128,2.84,26.7
2020-04-13,"Northern",82,2250,2.53,61.3
2020-04-13,"Unknown",16,618,0,55
2020-04-13,"Vancouver Coastal",228,19240,4.48,20.5
2020-04-13,"Vancouver Island",112,8069,1.38,29.2
2020-04-14,"BC",696,59383,4.26,28.6
2020-04-14,"Fraser",230,20612,6.08,25.3
2020-04-14,"Interior",86,8214,3.38,50.7
2020-04-14,"Northern",46,2296,2.61,67.7
